Diện tích,Phòng ngủ,Số tầng,Số toilet,Số phòng khách,Loại địa ốc,Địa chỉ,Pháp lý,Hướng nhà,Đường trước nhà,Giá nhà,tag
81m2,,,,,Bán nhà riêng,,,,,6 tỷ 700 triệu,da_nang
80m2,2 PN,,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông,,5 tỷ 400 triệu,da_nang
105m2,3 PN,31 tầng,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,30m - 50m,50 triệu /m2,da_nang
142m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,26 tỷ 600 triệu,da_nang
90m2,,,,,Bán đất thổ cư,,Sổ hồng,,8m,4 tỷ 550 triệu,da_nang
660m2,,,,,Bán đất thổ cư,,,,,2 tỷ 390 triệu,da_nang
180m2,,,,,Bán nhà riêng,,,,,16 tỷ 900 triệu,da_nang
105m2,3 PN,12 tầng,2.0,3.0,Bán căn hộ chung cư,,Sổ hồng,Không xác định,10m - 15m,3 tỷ 500 triệu,da_nang
70m2,,,,,Bán nhà riêng,,,,,7 tỷ,da_nang
59m2,3 PN,,2.0,1.0,Bán nhà riêng,,Sổ hồng,,3m,3 tỷ 850 triệu,da_nang
76m2,,,,,Bán nhà riêng,,,,,6 tỷ,da_nang
400m2,,,,,Bán nhà riêng,,,,,14 tỷ,da_nang
300m2,,,,,Bán nhà riêng,,,,,15 tỷ 900 triệu,da_nang
90m2,,,,,Bán nhà riêng,,,,,12 tỷ,da_nang
90m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,20 tỷ,da_nang
131m2,,,,,Bán nhà riêng,,,,,32 tỷ 900 triệu,da_nang
159m2,,,,,Bán nhà riêng,,,,,7 tỷ 900 triệu,da_nang
100m2,,,,,Bán nhà riêng,,,,,7 tỷ,da_nang
60m2,,,,,Bán đất thổ cư,,,,,6 tỷ 90 triệu,da_nang
120m2,,,,,Bán đất thổ cư,,Giấy tờ hợp lệ,,10m,14 tỷ,da_nang
150m2,,,,,Bán đất nền dự án,,,,,"16,5 triệu /m2",da_nang
81m2,,,,,Bán căn hộ chung cư,,,,,59 triệu /m2,da_nang
105m2,3 PN,26 tầng,3.0,3.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,,3 tỷ 500 triệu,da_nang
757m2,,,,,Bán đất thổ cư,,,,,48 tỷ,da_nang
160m2,,9 tầng,,,"Bán căn hộ Mini, Dịch vụ",,Giấy tờ hợp lệ,,10m,45 tỷ,da_nang
45m2,,,,,Bán nhà riêng,,,,,2 tỷ 900 triệu,da_nang
125m2,3 PN,3 tầng,3.0,1.0,Bán nhà riêng,,Sổ hồng,Đông Bắc,8m,11 tỷ 500 triệu,da_nang
69m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ 850 triệu,da_nang
120m2,,,,,Bán nhà phố dự án,,,,,16 tỷ 900 triệu,da_nang
80m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,7 tỷ 200 triệu,da_nang
144m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,19 tỷ 800 triệu,da_nang
75m2,,,,,Bán nhà riêng,,,,,8 tỷ 800 triệu,da_nang
70m2,,,,,Bán nhà riêng,,,,,10 tỷ 800 triệu,da_nang
105m2,3 PN,24 tầng,3.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,10m - 15m,3 tỷ 600 triệu,da_nang
67m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,24 tỷ,da_nang
80m2,,,,,Bán nhà riêng,,,,,17 tỷ,da_nang
169m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,12 tỷ 500 triệu,da_nang
60m2,3 PN,2 tầng,1.0,1.0,Bán nhà riêng,,Giấy đỏ,,5m,9 tỷ,da_nang
100m2,3 PN,31 tầng,4.0,2.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,15m - 20m,1 tỷ 600 triệu,da_nang
100m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,23 tỷ 500 triệu,da_nang
100m2,,,,,Bán nhà riêng,,,,,9 tỷ,da_nang
100m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,25 tỷ 800 triệu,da_nang
50m2,,,,,Bán nhà riêng,,,,,8 tỷ 500 triệu,da_nang
82m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,17 tỷ 500 triệu,da_nang
49m2,,,,,Bán nhà riêng,,,,,4 tỷ 900 triệu,da_nang
71m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ 200 triệu,da_nang
100m2,,,,,Bán đất thổ cư,,,,,1 tỷ 950 triệu,da_nang
105m2,,,,,Bán đất thổ cư,,,,,2 tỷ 450 triệu,da_nang
53m2,,,,,Bán nhà riêng,,,,,8 tỷ 790 triệu,da_nang
127m2,,,,,Bán nhà riêng,,,,,15 tỷ 200 triệu,da_nang
65m2,3 PN,2 tầng,2.0,1.0,Bán nhà riêng,,,,3m,4 tỷ 800 triệu,da_nang
292m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,60 tỷ,da_nang
94m2,,,,,Bán nhà riêng,,,,,15 tỷ,da_nang
282m2,,,,,Bán biệt thự,,,,,21 tỷ,da_nang
105m2,3 PN,21 tầng,3.0,2.0,Bán căn hộ chung cư,,Sổ hồng,Tây Nam,10m - 15m,6 tỷ 400 triệu,da_nang
112.5m2,,,,,Bán nhà riêng,,,,,9 tỷ 900 triệu,da_nang
105m2,2 PN,4 tầng,3.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Tây Nam,10m - 15m,3 tỷ 300 triệu,da_nang
90m2,,,,,Bán nhà riêng,,,,,5 tỷ 400 triệu,da_nang
123m2,,,,,Bán nhà riêng,,,,,8 tỷ 200 triệu,da_nang
150m2,,,,,Bán nhà riêng,,,,,13 tỷ 800 triệu,da_nang
90m2,,,,,Bán nhà riêng,,,,,7 tỷ 200 triệu,da_nang
110m2,,,,,Bán nhà riêng,,,,,12 tỷ 900 triệu,da_nang
105m2,4 PN,21 tầng,2.0,2.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,15m - 20m,45 triệu /m2,da_nang
85m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,16 tỷ,da_nang
30m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,3 tỷ 500 triệu,da_nang
260m2,2 PN,,1.0,1.0,Bán nhà riêng,,Sổ hồng,,7m,14 tỷ,da_nang
71m2,,,,,Bán nhà riêng,,,,,9 tỷ 50 triệu,da_nang
50m2,2 PN,4 tầng,,,Bán nhà riêng,,Sổ hồng,,,8 tỷ 350 triệu,da_nang
82.5m2,,,,,Bán nhà riêng,,,,,7 tỷ 850 triệu,da_nang
100m2,,,,,Bán đất nền dự án,,,,,6 tỷ 100 triệu,da_nang
55m2,,,,,Bán nhà riêng,,,,,6 tỷ 350 triệu,da_nang
105m2,4 PN,8 tầng,3.0,2.0,Bán nhà riêng,,Sổ hồng,Đông Bắc,15m - 20m,5 tỷ 100 triệu,da_nang
110m2,3 PN,4 tầng,5.0,,Bán nhà riêng,,Sổ hồng,,3m,13 tỷ 800 triệu,da_nang
250m2,,,,,Bán nhà riêng,,,,,23 tỷ 800 triệu,da_nang
49m2,1 PN,,1.0,,Bán căn hộ chung cư,,Hợp đồng,Đông Nam,,3 tỷ 700 triệu,da_nang
73m2,2 PN,,2.0,1.0,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,5 tỷ 789 triệu,da_nang
76m2,,,,,Bán nhà riêng,,,,,10 tỷ,da_nang
128m2,3 PN,2 tầng,2.0,1.0,Bán nhà riêng,,Sổ hồng,Đông Nam,5m,8 tỷ,da_nang
49m2,1 PN,,1.0,,Bán căn hộ chung cư,,,,,3 tỷ 700 triệu,da_nang
64m2,,,,,Bán nhà riêng,,,,,8 tỷ 550 triệu,da_nang
50m2,,,,,Bán nhà riêng,,,,,7 tỷ 600 triệu,da_nang
107m2,,,,,Bán nhà riêng,,,,,13 tỷ 900 triệu,da_nang
78m2,,,,,Bán nhà riêng,,,,,6 tỷ 750 triệu,da_nang
96m2,,,,,Bán nhà riêng,,,,,8 tỷ 50 triệu,da_nang
51m2,1 PN,,1.0,1.0,Bán căn hộ chung cư,,Hợp đồng,,,2 tỷ 900 triệu,da_nang
100.4m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,12 tỷ,da_nang
79m2,2 PN,,2.0,,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,10 tỷ 900 triệu,da_nang
70m2,,,,,Bán căn hộ chung cư,,,,,6 tỷ 850 triệu,da_nang
100m2,,,,,Bán căn hộ chung cư,,,,,9 tỷ 100 triệu,da_nang
105m2,3 PN,12 tầng,4.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,10m - 15m,5 tỷ,da_nang
63m2,2 PN,12 tầng,2.0,2.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,15m - 20m,4 tỷ 200 triệu,da_nang
395m2,,,,,Bán biệt thự,,,,,9 tỷ,da_nang
28m2,,,,,Bán căn hộ chung cư,,,,,2 tỷ 900 triệu,da_nang
51m2,,,,,Bán căn hộ chung cư,,,,,3 tỷ 760 triệu,da_nang
49m2,1 PN,,1.0,,Bán căn hộ chung cư,,Hợp đồng,,,3 tỷ 700 triệu,da_nang
78m2,,,,,Bán căn hộ chung cư,,,,,9 tỷ 700 triệu,da_nang
30m2,1 PN,26 tầng,1.0,,Bán căn hộ chung cư,,Hợp đồng,Đông,,3 tỷ,da_nang
66m2,,,,,Bán căn hộ chung cư,,,,,900 triệu,da_nang
45m2,,,1.0,,Bán nhà riêng,,,,,3 tỷ 700 triệu,da_nang
72m2,,,,,Bán nhà riêng,,,,,5 tỷ 500 triệu,da_nang
45m2,,,,,Bán căn hộ chung cư,,,,,3 tỷ 971 triệu,da_nang
74m2,2 PN,,2.0,,Bán nhà riêng,,Hợp đồng,,,6 tỷ,da_nang
300m2,4 PN,3 tầng,5.0,5.0,Bán nhà phố dự án,,Sổ hồng,Tây Nam,10m - 15m,29 tỷ 500 triệu,da_nang
49m2,1 PN,,1.0,,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,3 tỷ 900 triệu,da_nang
146m2,,,,,Bán đất thổ cư,,,,,12 tỷ 400 triệu,da_nang
90m2,,,,,Bán đất nền dự án,,,,,6 tỷ 750 triệu,da_nang
1416m2,,,,,Bán đất thổ cư,,,,,9 tỷ 500 triệu,da_nang
150m2,,,,,Bán đất thổ cư,,,,,11 tỷ,da_nang
45m2,1 PN,,1.0,,Bán căn hộ chung cư,,Hợp đồng,,,3 tỷ 700 triệu,da_nang
300m2,5 PN,4 tầng,4.0,2.0,Bán biệt thự,,Sổ hồng,Tây Nam,15m - 20m,27 tỷ,da_nang
105m2,4 PN,24 tầng,2.0,2.0,Bán căn hộ chung cư,,Sổ hồng,Đông Bắc,10m - 15m,6.890 tỷ,da_nang
200m2,,,,,Bán đất thổ cư,,,,,"2,5 triệu",da_nang
49m2,1 PN,,1.0,1.0,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,3 tỷ 900 triệu,da_nang
48m2,1 PN,,1.0,1.0,Bán căn hộ chung cư,,Hợp đồng,,,3 tỷ 800 triệu,da_nang
45m2,1 PN,,1.0,,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,3 tỷ 700 triệu,da_nang
106m2,,,,,Bán căn hộ chung cư,,,,,52 triệu /m2,da_nang
45m2,1 PN,,1.0,,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,2 tỷ 500 triệu,da_nang
177.6m2,,,,,Bán đất nền dự án,,,,,15 tỷ 900 triệu,da_nang
49m2,1 PN,,1.0,,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,3 tỷ 900 triệu,da_nang
75m2,2 PN,,2.0,,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,6 tỷ 500 triệu,da_nang
105m2,3 PN,,3.0,2.0,Bán nhà phố dự án,,Sổ hồng,,10m - 15m,6 tỷ 500 triệu,da_nang
100m2,,,,,Bán đất nền dự án,,,,,5 tỷ 620 triệu,da_nang
82m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ 735 triệu,da_nang
104m2,3 PN,,2.0,,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,8 tỷ 600 triệu,da_nang
104m2,3 PN,,3.0,,Bán căn hộ chung cư,,Giấy tờ hợp lệ,,,8 tỷ 500 triệu,da_nang
64m2,2 PN,,2.0,1.0,Bán căn hộ chung cư,,Giấy tờ hợp lệ,Đông Nam,,4 tỷ 785 triệu,da_nang
105m2,3 PN,12 tầng,2.0,2.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,10m - 15m,3 tỷ 700 triệu,da_nang
100m2,,,,,Bán nhà phố dự án,,,,,8 tỷ 900 triệu,da_nang
80m2,,,,,Bán nhà riêng,,,,,5 tỷ 800 triệu,da_nang
49m2,1 PN,,1.0,1.0,Bán căn hộ chung cư,,Giấy tờ hợp lệ,Tây Bắc,,4 tỷ 100 triệu,da_nang
49m2,1 PN,,1.0,1.0,Bán căn hộ chung cư,,Giấy tờ hợp lệ,Tây Bắc,,4 tỷ 100 triệu,da_nang
49m2,1 PN,,1.0,1.0,Bán căn hộ chung cư,,Giấy tờ hợp lệ,Tây Bắc,,4 tỷ 100 triệu,da_nang
49m2,1 PN,,1.0,1.0,Bán căn hộ chung cư,,Giấy tờ hợp lệ,Tây Bắc,,4 tỷ 100 triệu,da_nang
56m2,,,,,Bán nhà riêng,,,,,2 tỷ 900 triệu,da_nang
250m2,,3 tầng,,,Bán biệt thự,,Sổ hồng,,,9 tỷ,da_nang
71m2,2 PN,,2.0,2.0,Bán căn hộ chung cư,,Giấy tờ hợp lệ,Tây Bắc,,5 tỷ 500 triệu,da_nang
49m2,1 PN,,1.0,1.0,Bán căn hộ chung cư,,Hợp đồng,,,3 tỷ 850 triệu,da_nang
105m2,4 PN,21 tầng,3.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,10m - 15m,6 tỷ 400 triệu,da_nang
105m2,3 PN,2 tầng,1.0,1.0,Bán nhà riêng,,Sổ hồng,,7m,"13,2 triệu",da_nang
102m2,,,,,Bán đất nền dự án,,,,,4 tỷ 650 triệu,da_nang
72m2,,,,,Bán nhà riêng,,,,,10 tỷ 500 triệu,da_nang
300m2,5 PN,3 tầng,6.0,2.0,Bán biệt thự,,Sổ hồng,Tây Nam,15m - 20m,28 tỷ,da_nang
75m2,,,,,Bán nhà riêng,,,,,11 triệu,da_nang
120.5m2,,,,,Bán nhà riêng,,,,,18 tỷ,da_nang
111m2,,,,,Bán nhà riêng,,,,,17 tỷ 500 triệu,da_nang
80m2,,,,,Bán căn hộ chung cư,,,,,5 tỷ,da_nang
300m2,4 PN,3 tầng,6.0,3.0,Bán biệt thự,,Sổ hồng,Tây Nam,20m - 30m,27 tỷ,da_nang
82.96m2,2 PN,,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Tây Nam,,4 tỷ 977 triệu,da_nang
77m2,2 PN,,2.0,,Bán căn hộ chung cư,,Sổ hồng,,,60 triệu /m2,da_nang
80m2,,,,,Bán căn hộ chung cư,,,,,6 tỷ,da_nang
139m2,5 PN,,5.0,,Bán nhà riêng,,Sổ hồng,,7m,6 tỷ 500 triệu,da_nang
100m2,,,,,Bán căn hộ chung cư,,,,,2 tỷ 200 triệu,da_nang
70m2,2 PN,,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,,,"60,6 triệu /m2",da_nang
70m2,,,,,Bán nhà riêng,,,,,3 tỷ 990 triệu,da_nang
63m2,,,,,Bán căn hộ chung cư,,,,,2 tỷ 600 triệu,da_nang
63m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ 600 triệu,da_nang
50m2,,,,,Bán căn hộ chung cư,,,,,3 tỷ 879 triệu,da_nang
500m2,,,,,Bán đất thổ cư,,,,,8 tỷ 200 triệu,da_nang
100m2,,,,,Bán căn hộ chung cư,,,,,8 tỷ 900 triệu,da_nang
52m2,,,,,Bán căn hộ chung cư,,,,,3 tỷ 550 triệu,da_nang
4752m2,,,,,Bán căn hộ chung cư,,,,,3 tỷ 550 triệu,da_nang
100m2,,,,,Bán đất thổ cư,,Sổ hồng,,7m,4 tỷ 677 triệu,da_nang
128m2,,,,,Bán đất thổ cư,,,,,13 tỷ 900 triệu,da_nang
63.3m2,,,,,Bán căn hộ chung cư,,,,,2 tỷ 586 triệu,da_nang
97.7m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ 900 triệu,da_nang
105m2,,,,,Bán đất thổ cư,,,,,4 tỷ 880 triệu,da_nang
63.3m2,,,,,Bán căn hộ chung cư,,,,,2 tỷ 500 triệu,da_nang
80m2,2 PN,16 tầng,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,30m - 50m,8 tỷ,da_nang
80m2,,,,,Bán căn hộ chung cư,,,,,5 tỷ,da_nang
127m2,,,,,Bán nhà phố dự án,,,,,10 tỷ 500 triệu,da_nang
48m2,,,,,Bán căn hộ chung cư,,,,,100 triệu/m2,da_nang
260m2,,,,,Bán biệt thự,,,,,16 tỷ,da_nang
260m2,,,,,Bán biệt thự,,,,,16 tỷ,da_nang
70.2m2,3 PN,2 tầng,2.0,1.0,Bán nhà riêng,,Sổ hồng,Đông,5m,7 tỷ 900 triệu,da_nang
100m2,,,,,Bán nhà phố dự án,,,,,2 tỷ 700 triệu,da_nang
110m2,5 PN,4 tầng,5.0,1.0,Bán nhà phố dự án,,Sổ hồng,,,8 tỷ,da_nang
